Dossier : 201892,SAS BH 92
422 BD DES PROVINCES FRANCAISE
Page : 1,92000 NANTERRE
Balance Générale
Exercice du 01/01/2022 au 31/12/2022
Edition définitive 12/22,(Période au 31/12/2022)
COMPTE,INTITULE,DEBIT,CREDIT,SOLDE DEB.,SOLDE CRED.,SOLDE N-1
10100000 CAPITAL,10 000.00,10 000.00,10 000.00-
10610000 RESERVE LEGALE,1 000.00,1 000.00
Total classe 10,11 000.00,11 000.00,10 000.00-
11000000 REPORT A NOUVEAU CREDITEUR,24 697.62,24 697.62,22 503.35-
Total classe 11,24 697.62,24 697.62,22 503.35-
12000000 RESULTAT DE L'EXERCICE (B,3 194.27,3 194.27
Total classe 12,3 194.27,3 194.27
16410000 PRET PGE CIC 160 000 €,28 934.36,159 122.84,130 188.48,159 122.84-
16420000 PRET REBON BPIFRANCE 50 000€,50 000.00,50 000.00,50 000.00-
Total classe 16,28 934.36,209 122.84,180 188.48,209 122.84-
Total classe 1,32 128.63,248 014.73,215 886.10,241 626.19-
Total des soldes,215 886.10
20100000 FRAIS D'ETABLISSEMENT,96 850.00,96 850.00,96 850.00
Total classe 20,96 850.00,96 850.00,96 850.00
21540000 MATERIEL ET OUTILLAGE,54 479.21,54 479.21,53 879.75
21810000 INST GLE AGENCEMT AMENAGMT DIV,173 770.78,173 770.78,173 770.78
21820000 MATERIEL DE TRANSPORT,652.18,652.18,652.18
21830000 MATERIEL DE BUREAU ET INFORMAT,15 262.23,15 262.23,13 395.73
21840000 MOBILIER,27 184.67,27 184.67,27 184.67
Total classe 21,271 349.07,271 349.07,268 883.11
27500000 DEPOTS DE LOYER,14 119.17,14 119.17,11 267.59
Total classe 27,14 119.17,14 119.17,11 267.59
28010000 AMT FR ETAB,26 109.00,26 109.00,26 109.00-
28154000 AMT MAT IND,27 148.00,27 148.00,27 148.00-
28181000 AMORT INST GLES DIVERS,33 191.00,33 191.00,33 191.00-
28182000 AMT TPORT,29.00,29.00,29.00-
28183000 AMORT MAT DE BUREAU ET INFORM,7 048.98,7 048.98,7 048.98-
